"namesource","total","selectdate"
Referral (Client),764,"2023/01/01 to 2023/06/30"
EP-CA-Website,578,"2023/01/01 to 2023/06/30"
EP-CA-Google-PPC,563,"2023/01/01 to 2023/06/30"
Word of Mouth,536,"2023/01/01 to 2023/06/30"
EP-LA-Radio.Viva,528,"2023/01/01 to 2023/06/30"
EP-CA-Facebook,393,"2023/01/01 to 2023/06/30"
NaN,349,"2023/01/01 to 2023/06/30"
Other,249,"2023/01/01 to 2023/06/30"
Referral (Non-Client),234,"2023/01/01 to 2023/06/30"
MC-CH-Facebook,211,"2023/01/01 to 2023/06/30"
EP-CA-Facebook-PPC,204,"2023/01/01 to 2023/06/30"
MC-CH-Radio-AMOR,146,"2023/01/01 to 2023/06/30"
MC.CH.Tik Tok,137,"2023/01/01 to 2023/06/30"
EP-CA-Google,106,"2023/01/01 to 2023/06/30"
EP -AEP-KSCA Univision,89,"2023/01/01 to 2023/06/30"
EP-CA-TikTok-PPC,52,"2023/01/01 to 2023/06/30"
EP-CA-Instagram-PPC,45,"2023/01/01 to 2023/06/30"
EP-LA-Radio.KSCA,44,"2023/01/01 to 2023/06/30"
MC-CH-Facebook-PPC,37,"2023/01/01 to 2023/06/30"
EP-LA-Radio-Louie.G,31,"2023/01/01 to 2023/06/30"
DC-OC-TikTok,30,"2023/01/01 to 2023/06/30"
EP-SD-TV-Telemundo-Commercial,30,"2023/01/01 to 2023/06/30"
MC-CH-Google-PPC,29,"2023/01/01 to 2023/06/30"
EP-CA-Youtube,10,"2023/01/01 to 2023/06/30"
EP-LA-Yelp-PPC,7,"2023/01/01 to 2023/06/30"
EL-Google,6,"2023/01/01 to 2023/06/30"
MC-CH-Website,4,"2023/01/01 to 2023/06/30"
GIG-CA-Tictok-PPC,4,"2023/01/01 to 2023/06/30"
GIG-CA-Instagram-PPC,4,"2023/01/01 to 2023/06/30"
EL-Facebook,3,"2023/01/01 to 2023/06/30"
GIG-CA-Facebook-PPC,1,"2023/01/01 to 2023/06/30"
Community Outreach,1,"2023/01/01 to 2023/06/30"
GIG-CA-Google-PPC,1,"2023/01/01 to 2023/06/30"
GIG-CA-Website,1,"2023/01/01 to 2023/06/30"
GIG-CA-Facebook,1,"2023/01/01 to 2023/06/30"
EP-LA-Avvo.PPC,1,"2023/01/01 to 2023/06/30"
EP-Facebook-SanBernardino,1,"2023/01/01 to 2023/06/30"
